time,temperature_2m,relative_humidity_2m,wind_speed_10m,date
2024-09-27 00:00:00,15.0,84,14.1,2024-09-27
2024-09-27 01:00:00,14.5,87,10.3,2024-09-27
2024-09-27 02:00:00,14.4,78,15.6,2024-09-27
2024-09-27 03:00:00,13.9,83,9.9,2024-09-27
2024-09-27 04:00:00,13.5,83,10.6,2024-09-27
2024-09-27 05:00:00,12.9,88,6.5,2024-09-27
2024-09-27 06:00:00,12.7,85,9.0,2024-09-27
2024-09-27 07:00:00,13.4,84,8.7,2024-09-27
2024-09-27 08:00:00,14.7,80,12.4,2024-09-27
2024-09-27 09:00:00,15.7,74,18.9,2024-09-27
2024-09-27 10:00:00,16.3,74,17.3,2024-09-27
2024-09-27 11:00:00,17.1,67,22.5,2024-09-27
2024-09-27 12:00:00,16.4,64,21.6,2024-09-27
2024-09-27 13:00:00,14.8,68,19.1,2024-09-27
2024-09-27 14:00:00,14.5,74,20.2,2024-09-27
2024-09-27 15:00:00,14.4,72,21.7,2024-09-27
2024-09-27 16:00:00,13.9,73,18.1,2024-09-27
2024-09-27 17:00:00,13.3,77,16.6,2024-09-27
2024-09-27 18:00:00,12.5,78,15.1,2024-09-27
2024-09-27 19:00:00,12.3,80,15.6,2024-09-27
2024-09-27 20:00:00,12.0,85,12.1,2024-09-27
2024-09-27 21:00:00,11.7,85,12.5,2024-09-27
2024-09-27 22:00:00,11.4,85,10.5,2024-09-27
2024-09-27 23:00:00,11.7,82,11.4,2024-09-27
2024-09-28 00:00:00,11.9,84,12.4,2024-09-28
2024-09-28 01:00:00,11.7,86,11.9,2024-09-28
2024-09-28 02:00:00,11.4,87,11.6,2024-09-28
2024-09-28 03:00:00,11.1,88,7.2,2024-09-28
2024-09-28 04:00:00,10.9,90,7.6,2024-09-28
2024-09-28 05:00:00,10.9,90,8.0,2024-09-28
2024-09-28 06:00:00,10.8,90,6.8,2024-09-28
2024-09-28 07:00:00,11.2,87,8.2,2024-09-28
2024-09-28 08:00:00,11.6,81,11.7,2024-09-28
2024-09-28 09:00:00,11.9,77,11.7,2024-09-28
2024-09-28 10:00:00,12.7,70,12.0,2024-09-28
2024-09-28 11:00:00,13.1,66,11.5,2024-09-28
2024-09-28 12:00:00,13.5,61,11.7,2024-09-28
2024-09-28 13:00:00,13.8,59,13.2,2024-09-28
2024-09-28 14:00:00,13.7,58,13.7,2024-09-28
2024-09-28 15:00:00,12.9,68,11.6,2024-09-28
